year,semestre,gravedad,cantidad_homicidios,semestre_anterior,Tasa Actual,Tasa Anterior,variacion%
2016,1,fatal,46,0,1.4735527709679352,0.0,inf
2016,2,fatal,38,46,1.217282723843077,1.4735527709679352,-17.391304347826082
2017,1,fatal,68,38,2.1782954005612956,1.217282723843077,78.94736842105262
2017,2,fatal,66,68,2.1142278887800807,2.1782954005612956,-2.9411764705882475
2018,1,fatal,70,66,2.24236291234251,2.1142278887800807,6.060606060606065
2018,2,fatal,79,70,2.5306667153579756,2.24236291234251,12.857142857142861
2019,1,fatal,57,79,1.8259240857646153,2.5306667153579756,-27.848101265822784
2019,2,fatal,47,57,1.5055865268585424,1.8259240857646153,-17.543859649122805
2020,1,fatal,32,47,1.0250801884994332,1.5055865268585424,-31.914893617021278
2020,2,fatal,51,32,1.6337215504209714,1.0250801884994332,59.374999999999986
2021,1,fatal,55,51,1.7618565739834007,1.6337215504209714,7.843137254901967
2021,2,fatal,42,55,1.345417747405506,1.7618565739834007,-23.636363636363633
